243.05,165.16,358.95,165.16,358.95,277.84,243.05,277.84
239.32,279.94,361.51,282.28,363.68,169.06,241.49,166.72
229.81,284.02,356.72,289.26,361.19,180.98,234.28,175.74
206.96,297.58,337.59,305.81,344.04,203.42,213.41,195.19
214.07,313.11,326.42,313.67,326.93,209.88,214.58,209.33
212.69,309.09,338.46,308.91,338.31,203.91,212.54,204.09
220.00,200.00,327.00,200.00,327.00,296.00,220.00,296.00
218.00,201.00,327.00,201.00,327.00,295.00,218.00,295.00
186.00,306.36,305.86,307.72,307.00,207.64,187.14,206.28
147.00,261.00,256.00,261.00,256.00,344.00,147.00,344.00
236.00,259.00,338.00,259.00,338.00,348.00,236.00,348.00
250.00,224.00,354.00,224.00,354.00,318.00,250.00,318.00
226.00,211.00,338.00,211.00,338.00,306.00,226.00,306.00
218.38,304.74,328.01,305.39,328.62,202.26,218.99,201.61
209.00,204.00,315.00,204.00,315.00,300.00,209.00,300.00
195.00,213.00,303.00,213.00,303.00,309.00,195.00,309.00
194.00,221.00,303.00,221.00,303.00,316.00,194.00,316.00
201.65,308.45,319.18,307.37,318.35,216.55,200.82,217.63
224.00,189.00,330.00,189.00,330.00,283.00,224.00,283.00
219.00,153.00,326.00,153.00,326.00,246.00,219.00,246.00
198.00,146.00,307.00,146.00,307.00,240.00,198.00,240.00
204.00,164.00,312.00,164.00,312.00,253.00,204.00,253.00
237.00,204.00,343.00,204.00,343.00,288.00,237.00,288.00
266.00,237.00,372.00,237.00,372.00,326.00,266.00,326.00
275.00,245.00,383.00,245.00,383.00,335.00,275.00,335.00
259.00,246.00,373.00,246.00,373.00,342.00,259.00,342.00
246.00,252.00,353.00,252.00,353.00,344.00,246.00,344.00
241.00,252.00,349.00,252.00,349.00,347.00,241.00,347.00
234.00,246.00,342.00,246.00,342.00,335.00,234.00,335.00
230.00,231.00,335.00,231.00,335.00,322.00,230.00,322.00
228.00,221.00,336.00,221.00,336.00,315.00,228.00,315.00
234.00,213.00,344.00,213.00,344.00,304.00,234.00,304.00
244.00,202.00,355.00,202.00,355.00,292.00,244.00,292.00
241.00,181.00,351.00,181.00,351.00,272.00,241.00,272.00
231.00,160.00,335.00,160.00,335.00,249.00,231.00,249.00
224.00,138.00,331.00,138.00,331.00,227.00,224.00,227.00
231.00,124.00,339.00,124.00,339.00,217.00,231.00,217.00
248.00,134.00,357.00,134.00,357.00,223.00,248.00,223.00
257.00,135.00,364.00,135.00,364.00,229.00,257.00,229.00
258.00,142.00,368.00,142.00,368.00,236.00,258.00,236.00
267.00,183.00,376.00,183.00,376.00,270.00,267.00,270.00
270.00,224.00,377.00,224.00,377.00,314.00,270.00,314.00
275.00,235.00,382.00,235.00,382.00,329.00,275.00,329.00
280.00,241.00,386.00,241.00,386.00,336.00,280.00,336.00
273.00,239.00,382.00,239.00,382.00,331.00,273.00,331.00
266.00,227.00,374.00,227.00,374.00,318.00,266.00,318.00
266.00,219.00,374.00,219.00,374.00,311.00,266.00,311.00
272.00,205.00,379.00,205.00,379.00,295.00,272.00,295.00
274.00,160.00,378.00,160.00,378.00,266.00,274.00,266.00
274.00,160.00,381.00,160.00,381.00,259.00,274.00,259.00
275.00,182.00,382.00,182.00,382.00,279.00,275.00,279.00
271.00,184.00,376.00,184.00,376.00,280.00,271.00,280.00
269.00,181.00,376.00,181.00,376.00,277.00,269.00,277.00
272.00,180.00,379.00,180.00,379.00,279.00,272.00,279.00
278.00,185.00,385.00,185.00,385.00,281.00,278.00,281.00
286.00,198.00,394.00,198.00,394.00,290.00,286.00,290.00
285.00,213.00,394.00,213.00,394.00,306.00,285.00,306.00
262.00,213.00,368.00,213.00,368.00,305.00,262.00,305.00
226.00,211.00,335.00,211.00,335.00,306.00,226.00,306.00
204.00,207.00,310.00,207.00,310.00,302.00,204.00,302.00
207.00,209.00,315.00,209.00,315.00,301.00,207.00,301.00
232.00,210.00,345.00,210.00,345.00,301.00,232.00,301.00
272.00,215.00,385.00,215.00,385.00,305.00,272.00,305.00
307.00,216.00,424.00,216.00,424.00,310.00,307.00,310.00
338.00,222.00,443.00,222.00,443.00,316.00,338.00,316.00
331.00,222.00,438.00,222.00,438.00,317.00,331.00,317.00
319.00,213.00,430.00,213.00,430.00,308.00,319.00,308.00
296.00,197.00,409.00,197.00,409.00,288.00,296.00,288.00
263.00,165.00,375.00,165.00,375.00,264.00,263.00,264.00
245.00,160.00,353.00,160.00,353.00,256.00,245.00,256.00
244.00,173.00,352.00,173.00,352.00,265.00,244.00,265.00
254.00,190.00,359.00,190.00,359.00,281.00,254.00,281.00
260.00,207.00,366.00,207.00,366.00,295.00,260.00,295.00
270.00,220.00,383.00,220.00,383.00,306.00,270.00,306.00
298.00,228.00,409.00,228.00,409.00,317.00,298.00,317.00
313.00,234.00,421.00,234.00,421.00,329.00,313.00,329.00
309.00,246.00,416.00,246.00,416.00,337.00,309.00,337.00
302.00,252.00,407.00,252.00,407.00,348.00,302.00,348.00
291.00,250.00,396.00,250.00,396.00,342.00,291.00,342.00
270.00,240.00,371.00,240.00,371.00,330.00,270.00,330.00
231.00,232.00,338.00,232.00,338.00,321.00,231.00,321.00
218.00,230.00,325.00,230.00,325.00,324.00,218.00,324.00
215.00,236.00,319.00,236.00,319.00,331.00,215.00,331.00
221.00,235.00,329.00,235.00,329.00,327.00,221.00,327.00
